LotArea,TotalBsmtSF,FirstFlrSF,GrLivArea,SalePrice
4923,1593,1593,1593,286000
6264,1664,1682,1682,247900
5395,1337,1337,1337,180000
5070,1280,1280,1280,180000
10839,926,926,1604,181000
11184,932,932,1633,183000
8000,773,773,1658,188000
10832,712,1086,1895,194500
14067,836,851,1709,185000
4671,1228,1228,1228,189000
5950,1337,1337,1337,188500
13543,1168,1168,2500,355000
11198,1122,1134,2504,325000
15401,1884,1884,1884,387000
31220,1632,1474,1474,115000
8118,1710,1710,1710,334000
47280,1488,1488,1488,133000
20544,791,1236,2093,215000
12680,1675,1688,1688,226500
12090,1422,1422,1422,175500
10825,1260,1260,1260,181900
18559,2048,2064,2064,235000
14450,1782,1782,1782,220000
12227,1330,1542,2872,272000
13068,1211,1211,1211,161000
15611,1126,1126,1126,175000
10400,738,1277,2044,185000
9743,720,720,1308,146900
12511,1420,1420,2840,292500
11361,1193,1523,1523,180000
10400,1444,1444,1444,159900
10480,803,1098,1964,205000
10000,1176,1178,1178,157000
14311,1236,1236,2340,306000
9000,896,896,1792,133000
9750,1054,1054,1054,151000
10295,936,936,936,111900
7560,864,864,864,123000
12735,864,864,864,111250
4060,1405,1337,1337,181000
1680,483,483,987,103400
1680,483,483,987,100000
1890,483,483,987,100500
1869,483,483,987,106000
1680,483,483,987,85400
1680,483,483,987,89500
1680,630,630,1302,111750
4043,1069,1069,1069,140000
2308,855,855,1456,143000
2529,1055,1055,1055,148500
9477,864,892,892,110000
12444,1932,1932,1932,394617
12474,1682,1742,2332,426000
14803,2078,2084,2084,385000
14948,1452,1476,2713,446261
12704,1582,1582,1582,317500
13891,1710,1710,1710,372402
13693,2418,2464,2464,417500
14418,1950,1950,1950,383000
13418,1850,1850,2748,390000
12539,1620,1632,2790,460000
12151,1414,1414,2331,379000
8899,948,948,2088,250000
10574,1148,1170,2332,316000
12720,2535,2470,2470,615000
13688,1572,1572,2668,412500
10625,998,1006,2046,284000
10845,1603,1575,1575,284000
16900,1479,1515,2649,421250
16451,1765,1804,2690,370000
10110,1858,1866,1866,336860
8769,1702,1702,1702,367294
12304,1367,1367,1367,192000
12677,1518,1518,1518,274000
8849,1684,1684,1684,266000
8232,1800,1800,1800,370967
6240,1342,1342,1342,234250
6240,1342,1342,1342,219500
2448,764,764,1626,155000
2448,764,764,1626,154000
8198,1358,1358,1358,207000
3940,1415,1455,1455,195000
3940,1393,1576,1576,219990
3182,1346,1504,1504,191000
3182,1266,1266,1266,159895
3710,1146,1246,1246,187687
9024,789,813,1515,179000
7415,839,864,1593,193000
9587,856,1166,1166,190000
8029,728,728,1456,176000
8010,840,840,1720,188000
8396,847,847,1986,213000
7301,1350,1358,1358,217300
10261,936,962,1792,186500
8220,982,1008,1892,226750
15384,788,788,1490,184000
7750,707,707,1414,176000
12460,1037,1037,2322,225000
8390,831,873,1651,185900
9660,1173,1182,2199,284500
9200,1470,1470,2630,315000
14260,1145,1145,2198,250000
11000,1519,1533,2172,291000
11675,1982,2006,2006,350000
10990,1064,1064,2125,279500
11929,1242,1251,2501,290000
10437,2109,2113,2113,350000
10542,1311,1325,2418,341000
10010,1080,1108,2197,287500
10944,1223,1223,2127,271000
14303,1986,1987,1987,301500
11932,1580,1580,1580,235128
14598,894,894,1933,214000
11957,1574,1574,1574,232000
13253,1578,1578,1578,240000
14587,1498,1506,1506,264132
10206,1563,1563,1563,245000
12274,1417,1428,1428,227680
9801,1341,1341,1861,257000
9428,955,955,1874,297900
10037,1460,1460,1460,247000
8640,1363,1372,1372,212700
8640,1372,1372,1372,250580
11639,1428,1428,1428,182000
9803,866,866,1768,226700
9375,1053,1053,1992,250000
10625,1026,1026,1958,250000
10800,1034,1050,2078,339750
8125,813,822,1665,205950
10625,1660,1660,1660,256000
7500,1218,1218,1218,230348
8791,864,864,1728,207500
7500,1080,1080,1080,141000
10110,835,835,1696,188000
12774,835,835,1663,192500
13072,1175,1175,1175,146000
13695,1114,1114,1114,159000
13695,1114,1114,1114,155000
8366,798,798,1640,173000
9260,1162,1162,1162,170000
8453,754,754,1609,182000
8480,886,886,1680,163000
8125,1408,1679,1679,193500
14565,832,832,1657,189000
8450,827,827,1677,190500
8285,836,844,1737,175000
7153,1278,1294,1294,179200
9291,832,832,1710,187000
8012,1604,1617,1617,193000
7892,1199,1199,1199,153900
9100,984,984,984,128000
12968,912,912,912,144000
8100,864,864,864,135000
8450,890,890,890,115000
6360,864,864,864,119916
6768,912,912,912,142000
19508,1430,1430,1430,192000
10759,1001,1001,1641,140000
9205,930,1364,2683,290000
11025,1848,1827,2786,372500
4282,1391,1391,1391,196000
4017,625,625,1250,171900
3435,1235,1245,1245,178000
3180,600,600,1200,165000
3180,689,703,1392,146000
3604,689,703,1392,146000
2280,744,757,1501,179400
2280,744,757,1549,172900
4765,1614,1638,1638,300000
4538,1310,1310,1310,285000
4385,1419,1419,1419,290000
4109,1557,1557,1557,305000
5119,1698,1709,1709,328900
2160,600,624,1252,160000
2160,672,684,1404,170000
10646,858,872,1789,223000
2645,960,962,1586,170000
2645,960,962,1607,200000
3951,970,1469,2393,345000
14963,1260,1288,1288,245500
11064,1230,1239,1239,217500
10846,1719,1719,1719,324000
11120,1232,1232,1232,162500
24572,994,1599,2944,150000
16280,1426,1671,1671,290000
7500,952,952,1812,205000
10400,1304,1682,1682,174000
11104,1427,1427,1427,183000
11050,1740,1740,1740,150000
11040,1258,1258,1258,145000
15387,1620,1620,1620,215000
9750,1625,1625,1625,140500
10800,1522,1548,2614,240000
8814,732,732,1464,141000
8872,912,912,912,147000
8125,912,925,925,135000
11072,1728,1728,1728,145000
13101,1728,1728,1728,142600
9246,1656,1656,1656,135000
13355,825,845,1670,170000
8963,1142,1175,2715,299800
9120,901,943,1876,185000
9130,800,800,1632,173000
12122,944,999,999,178400
9900,832,1098,1978,176000
7785,0,1014,1014,98000
8593,907,907,907,109008
8475,952,952,952,135750
8700,1120,1128,1128,155000
10175,1425,1425,1425,180500
9020,1127,1165,1165,174900
9200,1136,1136,1136,140000
8250,1092,1092,1092,145000
9350,1219,1265,1265,179900
9020,1248,1350,1350,168500
9900,1114,1114,1114,140000
10007,1053,1053,1053,145500
10721,1252,1252,1252,142000
12493,1100,1100,1100,141000
11332,1118,1118,1118,153000
6627,0,720,720,72500
4130,270,729,729,52000
7420,991,1077,1077,118000
4882,348,453,906,87000
9600,1296,1496,1496,141500
9600,1032,1032,1252,119000
9600,572,1337,1337,141500
9600,992,1661,1661,165500
7584,1036,1036,1036,112900
13700,864,902,1820,201800
10197,1362,1362,1362,163000
7875,1144,1144,1144,139950
8400,1319,1537,1537,174000
9150,1099,1431,1431,165000
14670,1104,1104,1988,227000
7390,1098,1098,1098,135000
9204,1144,1144,1144,124000
7763,931,1283,1283,140000
8856,1176,1176,1176,136500
9840,1248,1440,1440,185000
9120,1261,1261,1261,163000
13200,1395,1570,1570,166800
9000,1196,1196,1196,139000
11900,1392,1392,1392,166000
9464,1080,1080,1080,136000
10425,1104,1104,1104,133000
11556,720,882,882,116000
9373,1152,1152,1152,137500
12774,984,950,950,130000
14250,998,1790,1790,180000
7350,952,952,952,139000
7677,773,773,773,110000
8838,0,1764,1764,100000
8480,832,832,1216,118500
12436,1824,1824,1824,146000
10122,0,869,869,89900
7506,747,747,1159,114000
10930,913,1048,1558,140000
5400,672,672,672,86900
10836,892,1254,1436,139000
10800,0,694,1294,106250
9247,858,858,1716,171000
10180,912,1044,1044,139000
11355,1312,1312,1312,186000
10920,1253,1253,1253,157000
12929,1081,1081,1081,148000
27650,585,2069,2069,242000
8892,105,910,910,116000
7200,876,876,876,94000
7200,0,1048,1048,98300
7910,1075,1507,1507,127000
8000,1256,1256,1256,159000
8000,1027,1027,1027,125900
7931,1269,1269,1269,155000
8064,768,819,1320,138000
6390,936,984,984,112500
7227,832,832,832,105500
7200,854,854,1278,127500
8513,1800,1800,1800,130000
7200,768,1024,1588,150000
7200,825,825,825,109500
7056,780,983,1796,140000
9760,780,798,1611,167900
7590,1117,1117,1117,136870
9836,192,1133,1133,143000
5232,680,764,764,73000
10440,650,958,1539,157500
9184,780,948,1323,122600
4800,680,680,1360,111000
10440,1510,1584,2792,256000
4800,672,672,672,64000
6000,728,728,1456,139500
11426,828,828,1594,118000
11426,1362,1362,2082,200000
7628,801,1095,1656,119164
7308,936,960,1740,122250
5400,931,1027,1027,120000
10800,884,884,1436,155000
6756,481,899,899,78000
5914,684,684,1080,95000
6000,789,789,789,115000
12000,924,1122,1122,147000
9000,904,904,1499,140000
7311,407,407,407,46500
6000,928,928,928,112500
6000,901,901,901,107900
12205,448,1588,1588,65000
18386,1470,1675,3493,295000
9142,797,830,1627,139500
12665,876,876,1416,153900
5350,624,730,1450,132000
4571,624,624,1344,98000
9143,346,709,1017,114000
9600,973,1377,2350,130000
9600,735,1134,2058,129500
6000,572,884,1540,129400
9600,689,689,1378,161000
10800,482,1221,1912,163000
6300,742,742,1484,128000
5250,684,938,2358,122000
5700,572,572,1111,116900
13500,1237,1521,2775,325000
11340,723,723,1086,55000
10800,1313,1313,2495,184000
9750,984,984,984,110000
12150,1050,1050,1795,131500
12702,0,882,882,97000
8516,869,1093,1093,115500
7111,1008,1143,1143,138000
7425,672,1195,1668,108000
9100,742,779,935,79500
7010,1024,1144,1738,153000
6130,784,784,784,109500
5000,672,832,1210,124000
5870,554,736,1290,106900
6000,981,1014,1672,164900
6000,949,949,949,119000
6000,862,950,1158,120000
6000,825,825,1497,157000
6000,739,874,1342,105000
5000,992,1013,1013,113000
5520,565,565,1216,115000
5940,0,896,896,79000
6240,704,624,1136,123000
6120,0,808,808,81300
6240,1078,1128,1573,162900
6240,989,1245,2009,150000
6120,1100,1226,1902,123500
6120,952,1022,1774,129900
6155,611,751,1362,128000
6324,520,520,520,68500
8635,672,1072,1285,127000
13053,833,1053,1848,207000
9120,1026,1133,1820,184000
9144,810,1170,1716,162500
9144,883,988,1505,145000
10267,816,838,838,130000
8094,1242,1242,1984,160000
5100,588,833,1666,161000
4347,796,825,1609,127500
6291,768,768,768,93850
10266,768,768,1536,136000
6876,1272,1272,1969,141000
10320,880,880,1308,120000
7200,1040,1040,1040,127500
7006,768,788,1236,127000
7920,319,1035,1406,89500
8235,825,825,825,125000
5586,901,1088,1198,79900
10320,451,759,759,85000
10320,536,808,1344,82375
10320,756,756,1469,135000
9488,1046,1054,1054,124000
8250,952,1211,1211,134000
21286,720,720,1271,135000
17120,0,1120,1588,134432
10106,644,808,1355,127500
11235,981,1075,1075,148000
11200,1040,1040,1040,129500
13014,1008,1096,1096,157500
7162,876,904,904,109900
10265,992,992,992,145000
9764,894,894,894,130000
7703,450,1034,1034,153000
9981,1073,1073,1073,120000
7400,1060,1126,1126,152000
12900,1198,1258,1258,108959
12900,1300,1140,1140,95541
9000,1006,1006,1006,80000
8544,1228,1228,1228,149350
9239,960,960,960,144900
14175,988,1188,1188,185000
13284,1383,1383,1383,165000
13500,1602,1252,1252,235000
13825,533,1021,1601,140000
10200,672,672,672,108000
10532,988,1721,1721,145000
8375,576,864,1350,152400
10200,864,904,904,144000
2887,1291,1291,1291,173000
10005,1160,1156,2022,192000
20270,1524,1524,1524,245000
39104,1385,1363,1363,241500
53227,1364,1663,1663,256000
11512,1019,1357,1357,177000
5190,570,617,1079,125600
10452,1094,1094,1094,155000
45600,907,1307,2358,240000
19550,1580,1518,1518,260000
21780,1163,1163,1674,185000
13728,1127,1236,2108,235000
9571,1509,1509,1509,159900
9350,864,864,864,99600
9360,621,621,1269,134500
8405,861,961,1367,119000
7000,1117,820,1347,107500
10880,1164,1164,1164,125000
9600,572,572,1096,79000
9084,616,616,1111,95000
11839,1475,1532,2329,262280
9771,1077,1093,2814,260000
9938,1602,1626,1626,226500
14171,812,1101,2200,225000
10541,672,1302,2037,229000
10616,628,628,1356,177439
9345,1615,1615,1615,248500
11778,2271,2276,2276,475000
11778,1751,1766,1766,395039
11228,1080,1080,2097,228000
11454,1401,1511,1511,225000
11500,1182,1643,1643,195000
12798,616,616,1688,200000
9750,990,990,990,155000
9525,1099,1099,1099,144000
9245,990,990,990,145000
8696,1418,1418,1418,226001
13142,864,872,1771,215700
8998,782,782,1652,207500
9179,873,882,1790,193000
8924,880,880,1724,188000
9382,1468,1479,1479,191000
12803,1494,1494,1494,221000
12435,963,963,1792,231500
12192,928,928,1823,235000
11250,920,920,1786,223500
9200,938,938,938,130250
8385,985,985,985,149900
12250,864,1174,1174,158000
10970,940,1026,1026,147000
9216,1076,1076,1076,143195
14330,864,1558,1558,163000
7990,924,924,924,110000
7180,864,864,864,127000
7200,780,780,780,124900
9742,1777,1795,1795,230000
9473,1128,1128,2031,237000
10316,992,992,1865,235000
10400,1257,1290,2161,230500
9066,1004,1004,1852,230000
11404,1153,1153,2031,222500
9240,1055,1055,2263,287000
9720,1357,1366,1947,274000
14860,1778,1786,1786,300000
11250,1128,1149,2290,255900
8158,884,884,1768,224900
10905,1129,1129,2327,240000
7226,798,798,1640,183000
11690,850,886,1764,207000
8750,915,933,1908,210000
4435,848,848,848,136500
4426,848,848,848,145000
13125,1478,1493,1493,208900
10126,1838,1838,1838,185000
9135,1536,1536,1536,214000
8450,856,856,1710,208500
9750,1445,1445,1445,186500
8450,1436,1436,1436,210000
8320,770,770,1582,185900
11049,1234,1234,1234,179900
11058,1564,1564,1564,218836
9627,1351,1361,1361,193000
8199,728,728,1456,189000
4426,848,848,848,149300
4426,848,848,848,141000
4438,848,848,848,149000
4438,848,848,848,144500
8777,796,796,796,85000
8777,1272,1272,2200,145900
9825,1092,1092,1092,123000
9937,1256,1256,1256,147500
12102,456,1033,1033,165000
6500,1127,1127,1127,135000
13907,996,996,996,108000
10012,1138,1181,1181,137500
6931,746,760,1656,165400
9638,1029,1117,1117,147000
7200,684,684,1398,160500
7024,1132,1132,1132,176000
47007,0,3820,3820,284700
63887,6110,4692,5642,160000
3675,547,1072,1072,148000
6040,0,1152,1152,82000
6012,0,1152,1152,82000
12108,1440,1440,1440,118000
6845,0,1152,1152,82500
6931,784,784,784,91900
12180,585,585,1053,120000
8050,0,929,1137,96000
9520,911,930,930,99000
11767,768,768,1200,130500
8172,941,997,1470,135000
16466,816,872,1393,135500
7692,416,1204,1204,100000
5142,949,949,1292,108000
5604,864,864,864,98000
8248,864,864,864,67000
5687,780,936,1716,135900
12155,672,810,1482,140000
8400,720,1052,2192,179500
8400,1181,1390,1694,136500
7290,1228,1424,1424,168000
8525,940,1024,1964,130000
9842,612,990,2601,189000
7804,960,960,1920,161900
8969,644,672,1316,145000
11526,588,1423,2555,191000
15576,840,840,1680,177000
15564,676,676,1264,147500
6292,768,790,790,91000
7609,798,798,1512,231000
10480,1064,1166,1639,115000
9650,784,819,1603,138000
7200,776,851,1502,149000
11988,715,849,1660,188700
11700,942,1265,1938,198000
9260,884,932,1374,110000
7801,1091,1091,1091,104000
9670,608,983,1873,257076
14100,728,1968,3447,381000
15660,798,1137,1954,311500
12392,832,1218,2161,263400
26073,1898,1898,1898,236500
14778,1296,1640,1640,224000
1879,516,516,1032,116500
1950,716,716,1556,151000
7000,894,919,919,126000
6000,720,760,1090,120000
3636,796,796,796,55000
5890,816,816,816,120500
6900,740,778,778,120500
8155,780,780,1200,119000
6000,624,1092,1656,126000
7392,520,912,912,99500
9000,1151,1151,1955,165500
14584,0,733,733,13100
5280,173,825,1361,89000
8500,649,649,1317,40000
5150,356,671,1049,80900
18000,894,894,894,81000
9000,592,432,864,65000
5587,1600,1652,1652,392500
3843,1596,1648,1648,294464
3811,1594,1646,1646,250000
3842,1594,1646,1646,275000
23730,1840,2032,2032,300000
13265,1568,1689,1689,271000
11050,910,910,1820,213000
9880,1096,1118,1118,171000
10125,1196,1279,1279,171500
10260,0,936,1872,100000
9990,1680,1689,1689,228500
164660,1499,1619,1786,228950
4084,1277,1501,1501,241500
15498,1565,2898,2898,287000
11563,1518,1537,1537,294000
9520,1638,1646,1646,293077
12852,920,920,1780,264966
9802,352,712,1442,172500
9735,384,754,1394,167500
12018,796,796,1612,218689
12890,1495,1495,1495,150000
12416,1606,1651,1651,184000
18265,1256,1256,1256,180000
10200,1461,1509,1509,175000
11202,1432,1440,1440,232500
7915,1666,1675,1675,195000
12244,1482,1482,2262,305000
11449,1884,1728,1728,298751
11447,1964,1964,1964,370000
8940,1344,1344,1344,209200
7060,1344,1344,1344,206300
9278,1092,1092,1092,146000
4500,1189,1189,1189,160500
14137,1200,1200,1200,173000
4224,1040,1040,1040,124000
2665,264,616,1304,115000
2665,550,925,1475,129500
1974,526,526,988,105000
1596,462,526,988,94900
17979,1113,1160,1160,152500
1477,546,546,1092,98000
1890,630,630,630,81000
21750,988,988,988,113000
6490,816,816,816,128500
6951,876,923,923,119500
6600,816,816,816,130500
6600,816,816,816,138000
6600,845,845,845,134500
12508,983,983,1750,160000
12395,864,889,889,137500
11075,784,1168,1968,172000
56600,686,1150,1836,103000
10667,1587,1587,1587,167300
10628,1277,1277,1277,167000
13651,2223,2223,2223,244000
15865,2217,2217,2217,268000
12394,847,847,1733,225000
10364,806,806,1572,168000
13869,794,794,1470,177000
8773,916,916,1600,169000
8872,384,754,1384,161500
5330,1494,1652,1652,251000
10147,392,924,1694,160000
8637,923,947,1714,180000
7875,691,691,1553,178750
7875,1237,1253,1253,176000
7500,938,957,2299,204000
9556,1168,1187,1187,160000
10784,384,802,1472,160000
9125,384,812,1482,163900
7655,903,910,1642,168000
18160,1302,1128,1128,154204
3696,1074,1088,1088,170000
5062,1190,1190,2090,207500
4740,1166,1179,1179,182000
5118,1312,1321,1321,212000
14157,1922,1922,1922,377426
12328,1149,1164,2541,349265
51974,2660,2338,2338,591587
41600,1100,1424,1424,155000
8035,1612,1612,1612,319900
8089,1419,1419,1419,392000
14082,2220,2234,2234,441929
13870,1742,2042,2042,455000
12546,1440,1440,1440,182900
10960,1284,1284,1284,174000
12090,585,1140,1868,178000
12090,725,725,1479,176000
12299,1529,1664,1664,213000
11339,780,1085,1930,192000
11952,808,1161,1969,190000
12046,848,1118,2030,195000
10395,1032,1032,1032,148000
11850,1153,1177,1177,151500
11584,539,1040,1725,197000
10400,1259,1353,1353,192350
10793,780,780,1620,152000
13001,1625,1220,1220,170000
12243,1484,1484,1484,175000
11700,702,1041,1743,175000
12384,793,1142,1935,197900
8991,1228,1324,1324,174000
8000,1084,1084,1877,178900
10500,372,576,1109,139000
10530,981,981,981,143250
7472,725,725,1479,184000
9457,925,1422,1422,155000
7920,914,914,914,133000
9758,950,950,950,119500
8294,858,872,872,123000
7340,858,858,858,110000
17199,914,914,914,128000
9000,864,864,864,120500
4058,723,767,767,133000
4113,1337,1337,1337,155000
10943,1405,1337,1337,177000
2205,525,525,1092,113500
1890,672,672,1218,113000
2058,672,672,1218,113700
2016,630,630,1302,106000
1920,765,765,1365,122500
4928,1078,958,958,128000
2308,804,804,1548,155000
2304,1061,1055,1055,142500
7150,988,988,988,129250
12469,1790,1816,1816,356000
11694,1822,1828,1828,314813
12030,1694,1694,1694,318000
11825,1694,1694,1694,322400
12085,1734,1734,1734,318000
14333,2108,2122,2122,345474
14450,2121,2121,2121,415298
13641,1934,1943,2656,492000
13440,1108,1148,2550,338931
15431,1994,2046,2046,450000
14154,1063,1071,2172,280000
13891,2552,2552,2552,479069
14226,1935,1973,1973,395000
13693,2153,2069,2643,380000
11428,1626,1634,1634,250000
14977,1976,1976,1976,440000
13654,1704,1722,2758,418000
17169,2320,2290,2290,500067
16659,1582,1582,2152,260116
9591,1143,1143,2473,317000
9709,918,958,2100,319500
10562,1582,1610,2161,325624
13615,1802,1802,1802,372000
13069,1706,1718,2956,342000
12099,1136,1136,2468,354000
14277,1317,1217,2385,350000
11999,1181,1234,2374,285000
12568,895,895,1818,281500
9926,1614,1614,1614,245700
9254,1721,1721,1721,232698
10732,1298,1298,1828,250000
7577,1362,1362,1362,194700
3901,1302,1302,1302,204000
3903,1302,1302,1302,200000
6289,1362,1362,1362,207000
4590,1554,1554,1554,209500
4590,1554,1554,1554,209500
6442,1370,1370,1370,202500
7841,1577,1577,1577,280000
7313,1561,1561,1561,277500
7820,1869,1869,1869,318061
6240,1324,1324,1324,221370
3242,1405,1405,1405,200000
15810,768,768,1496,181755
10237,768,768,1536,176000
10237,783,783,1484,178900
13204,608,608,1458,168165
8857,738,738,1495,171925
9729,698,698,1746,198444
12216,1326,1326,1326,203000
9018,728,728,1456,179540
8993,1302,1302,1302,176485
8899,1340,1340,1340,181134
8499,616,616,1412,156932
8229,752,752,1504,166000
7713,728,728,1456,177594
7697,1246,1258,1258,173500
3922,1258,1258,1258,172500
3922,1258,1402,1402,194201
3621,1406,1589,1589,226500
3710,1266,1266,1266,185485
14572,1530,1530,1530,259000
16219,835,1119,1119,188500
11084,384,744,1374,175000
11796,847,847,1959,215000
10936,1510,1525,1525,206580
8244,840,840,1720,183500
11950,384,754,1394,165500
7875,847,847,1948,211000
8063,924,948,1690,181000
8740,854,864,1995,219500
7917,953,953,1647,175000
9967,384,774,1430,170000
7750,660,660,1320,162000
9487,915,940,1690,187000
9649,941,961,1644,185000
15623,2396,2411,4476,745000
12191,1779,1779,2551,384500
11000,969,997,2285,248000
11400,2633,2633,2633,466500
10557,1408,1671,3078,410000
11002,1389,1411,2582,322500
10790,1066,1108,2385,252000
21535,2444,2444,4316,755000
9920,1117,1127,2013,269790
11787,1379,1383,2398,315750
9950,1203,1214,2520,290000
12257,1318,1328,2531,290000
12692,3200,3228,3228,430000
11762,1105,1105,2202,263000
9044,1325,1335,2538,330000
9910,1369,1369,1369,213133
11830,1542,1542,1542,260261
11670,1905,1905,1905,320000
15256,1485,1464,1464,282922
10612,1524,1534,1534,215000
12291,1966,1966,1966,419005
13501,1623,1636,1636,255000
9986,1795,1795,1795,147000
9965,1528,1528,1528,235876
9416,1726,1726,1726,311872
9849,1689,1689,1689,248328
10000,1588,1588,1588,227000
8847,1538,1538,1538,260000
9158,1496,1496,1496,225000
8251,1494,1506,1506,249000
10084,1686,1694,1694,307000
9605,982,982,1977,250000
8778,1302,1302,1830,221300
8640,1338,1338,1338,208900
9000,1335,1335,1335,210400
8640,896,896,1792,255000
10411,725,725,1588,212109
9000,1088,1088,1959,270000
9000,1184,1184,2610,303477
12217,955,955,1880,310013
11096,1656,1656,1656,249700
10207,874,874,1761,227875
10440,1574,1584,1584,261329
11824,1685,1685,1685,253000
10625,1158,1158,2443,265000
11143,1580,1580,2466,340000
7500,1100,1100,1100,146000
7500,1143,1143,1143,147000
12450,1094,1094,1094,149000
7441,1461,1486,1486,181000
8462,928,936,1721,201000
11613,864,920,1820,191750
8450,1349,1349,1349,179000
16196,1482,1494,1494,215000
8012,1575,1575,1575,179200
8012,630,630,1266,128000
9180,840,884,884,144000
8400,0,2020,2020,144000
6285,894,894,894,120750
8480,970,970,970,132500
7420,1057,1057,1057,132000
7758,999,999,999,132500
6970,1040,1120,1120,129000
13673,1140,1696,1696,143900
7476,1040,1040,1040,145000
9945,988,988,988,128500
6173,876,902,902,125500
19522,1223,1271,2503,300000
17542,1192,1516,2167,294000
10751,1037,1037,1037,129000
16647,1390,1701,1701,171000
12712,1044,1055,1055,147000
9572,1453,1453,2810,302000
10678,1683,2129,2872,285000
4379,1378,1378,1378,214000
3523,1141,1151,1151,166000
3784,1511,1565,1565,193800
4230,1352,1352,1352,208900
3606,1352,1352,1352,194000
5330,1550,1550,1550,207500
4274,1241,1241,1241,199900
4251,625,625,1250,164700
2280,744,757,1501,176500
3230,729,729,1458,176000
2117,756,756,1512,168500
2117,756,769,1573,177000
2117,756,769,1525,177000
5105,551,551,1102,148800
2645,776,764,1441,174000
7399,975,975,1950,239000
7321,1339,1358,1358,204000
8010,1054,1072,2048,301000
8413,1220,1220,2362,312500
9466,1494,1494,1494,279700
12000,2002,2362,2362,255000
16157,1360,1432,1432,194000
10768,1437,1437,1437,218000
3840,1057,1295,1295,213750
9600,528,1094,1855,187000
9600,1262,1262,1262,181500
17778,2461,2497,2497,373000
18890,1361,1361,2620,190000
7050,1057,1057,1929,226000
11700,912,1152,1152,143450
8000,1008,1403,2411,240050
8723,973,1082,1082,162500
11700,1295,1295,1295,164000
11358,1124,1610,1610,185000
9547,1594,1594,1594,188500
10530,1148,1091,2075,255000
11500,1680,1680,1680,136905
10738,1093,1093,1093,158500
9600,1242,1242,1242,175500
10800,1052,1052,1052,127000
8050,949,1107,1107,127000
10355,1214,1214,1214,143000
10289,1073,1073,1073,156000
9503,1024,1344,1344,144000
10624,1728,1728,1728,119000
10899,0,1224,1224,103000
12342,978,1422,1422,139900
12772,958,958,958,151500
8892,1065,1065,1065,126500
10482,588,1138,1138,145000
7535,912,912,912,120000
7450,894,1074,1074,124000
8339,0,882,882,106500
14357,864,1187,1187,140500
8243,964,964,964,137500
8680,894,894,894,117600
8800,1174,1200,1200,163500
9200,1042,1042,1042,161000
9350,1302,1302,1302,158000
8800,845,845,2154,224500
11382,1130,1374,1374,147000
22002,1592,1652,1652,200000
14585,1144,1429,1429,181900
7388,1063,1327,1327,150750
9842,0,1224,1224,101800
8280,932,932,932,124000
12172,822,908,908,138500
5000,0,334,334,39300
5000,666,666,666,64500
3500,370,442,670,64000
5175,808,808,808,112000
9500,816,1127,1977,165000
9600,1078,1150,1150,144000
11345,928,928,1920,137000
9492,768,968,1376,105000
9480,728,888,1644,146500
8668,1560,1560,1560,126000
10050,793,1280,1280,175000
9600,1218,1254,1254,158500
10150,912,912,912,114500
11344,874,874,1524,144000
18450,1021,1465,2380,129000
8760,936,936,936,141000
6860,1008,1008,1008,131000
8250,1053,1053,1053,142100
8176,1056,1056,1056,139000
9750,1442,1442,1442,157900
9250,1056,1056,1056,139400
11988,1244,1244,1244,150000
9100,1144,1144,1144,120000
9736,1331,1721,1721,174850
9770,922,922,922,116000
10152,1048,1048,1048,135000
12155,1657,1657,1657,163500
12198,1204,1411,1411,130000
10050,1216,1216,1216,129500
11556,864,1154,1154,142000
8078,1560,1560,1560,128600
10950,948,948,948,125000
7942,1040,1040,1040,136000
8923,1008,1008,1008,134500
8540,925,925,925,127000
7134,384,1360,1360,130000
7150,1190,1040,1540,115000
8400,923,925,925,116900
13300,928,928,928,132000
9532,1105,1647,1647,153000
15783,924,924,924,112500
14190,925,1000,1544,138000
9600,845,893,893,135000
12099,1216,1216,1728,156000
21281,666,1308,3086,301600
10134,735,735,1034,109000
5500,882,882,882,103200
10284,1151,845,1281,128500
10800,656,968,968,64500
10800,736,751,1534,148000
5400,691,691,691,86000
10090,725,1035,1651,172000
8700,920,888,888,120000
8300,952,952,952,128500
11606,1040,1040,2080,135000
8064,672,672,924,122900
11664,1082,1082,1082,119200
10496,1040,1168,1846,143000
7200,876,988,988,119000
7200,864,1238,1238,102000
7200,864,864,864,129000
7000,1010,1134,1134,135000
7500,1040,1040,1040,152000
7315,1170,1170,1170,140000
7903,1242,1242,1242,152000
8000,1377,1377,1377,156500
8000,1800,1800,1800,141000
7000,0,925,925,99000
9760,822,1020,1851,187000
7590,864,876,1812,169500
6600,864,864,864,125500
6760,896,936,936,130000
6978,850,960,960,103000
9600,264,768,1432,132000
6000,845,866,1296,127500
4480,1022,1022,1022,89500
7200,936,936,936,140000
3153,967,967,967,99900
10800,641,1047,1047,100000
7200,808,1072,1072,130000
9000,680,680,1174,135000
6000,649,679,1183,120000
5925,907,1131,1131,89471
5925,570,761,1141,85000
6000,960,960,960,108500
9639,1075,1156,1798,137000
3880,686,866,866,110500
8520,968,968,968,100000
10337,725,909,1772,184900
9863,728,914,1642,145000
9600,702,842,1472,125000
4571,616,616,1232,114000
13600,662,1422,2337,90000
8398,926,991,1650,144100
9900,1008,1178,2210,117500
3600,687,687,1358,124500
13500,819,1312,2454,185000
7200,1214,1260,2291,133900
